iso_code,country,date,ox_economic_support_index
AGO,Angola,2020-04-20,50.0
AGO,Angola,2020-04-21,50.0
AGO,Angola,2020-04-22,50.0
AGO,Angola,2020-04-23,50.0
AGO,Angola,2020-04-24,75.0
AGO,Angola,2020-04-25,75.0
AGO,Angola,2020-04-26,75.0
AGO,Angola,2020-04-27,75.0
AGO,Angola,2020-04-28,75.0
AGO,Angola,2020-04-29,75.0
AGO,Angola,2020-04-30,75.0
AGO,Angola,2020-05-01,75.0
AGO,Angola,2020-05-02,75.0
AGO,Angola,2020-05-03,75.0
AGO,Angola,2020-05-04,75.0
AGO,Angola,2020-05-05,75.0
AGO,Angola,2020-05-06,75.0
AGO,Angola,2020-05-07,75.0
AGO,Angola,2020-05-08,75.0
AGO,Angola,2020-05-09,75.0
AGO,Angola,2020-05-10,75.0
AGO,Angola,2020-05-11,75.0
AGO,Angola,2020-05-12,75.0
AGO,Angola,2020-05-13,75.0
AGO,Angola,2020-05-14,75.0
AGO,Angola,2020-05-15,75.0
AGO,Angola,2020-05-16,75.0
AGO,Angola,2020-05-17,75.0
AGO,Angola,2020-05-18,75.0
AGO,Angola,2020-05-19,75.0
AGO,Angola,2020-05-20,75.0
AGO,Angola,2020-05-21,75.0
AGO,Angola,2020-05-22,75.0
AGO,Angola,2020-05-23,75.0
AGO,Angola,2020-05-24,75.0
AGO,Angola,2020-05-25,75.0
AGO,Angola,2020-05-26,75.0
AGO,Angola,2020-05-27,75.0
AGO,Angola,2020-05-28,75.0
AGO,Angola,2020-05-29,75.0
AGO,Angola,2020-05-30,75.0
AGO,Angola,2020-05-31,75.0
AGO,Angola,2020-06-01,75.0
AGO,Angola,2020-06-02,75.0
AGO,Angola,2020-06-03,75.0
AGO,Angola,2020-06-04,75.0
AGO,Angola,2020-06-05,25.0
AGO,Angola,2020-06-06,25.0
AGO,Angola,2020-06-07,25.0
AGO,Angola,2020-06-08,25.0
AGO,Angola,2020-06-09,25.0
AGO,Angola,2020-06-10,25.0
AGO,Angola,2020-06-11,25.0
AGO,Angola,2020-06-12,25.0
AGO,Angola,2020-06-13,25.0
AGO,Angola,2020-06-14,25.0
AGO,Angola,2020-06-15,25.0
AGO,Angola,2020-06-16,25.0
AGO,Angola,2020-06-17,25.0
AGO,Angola,2020-06-18,25.0
AGO,Angola,2020-06-19,25.0
AGO,Angola,2020-06-20,25.0
AGO,Angola,2020-06-21,25.0
AGO,Angola,2020-06-22,25.0
AGO,Angola,2020-06-23,25.0
AGO,Angola,2020-06-24,25.0
AGO,Angola,2020-06-25,25.0
AGO,Angola,2020-06-26,25.0
AGO,Angola,2020-06-27,25.0
AGO,Angola,2020-06-28,25.0
AGO,Angola,2020-06-29,25.0
AGO,Angola,2020-06-30,25.0
AGO,Angola,2020-07-01,25.0
AGO,Angola,2020-07-02,25.0
AGO,Angola,2020-07-03,25.0
AGO,Angola,2020-07-04,25.0
AGO,Angola,2020-07-05,25.0
AGO,Angola,2020-07-06,25.0
AGO,Angola,2020-07-07,25.0
AGO,Angola,2020-07-08,25.0
AGO,Angola,2020-07-09,25.0
AGO,Angola,2020-07-10,25.0
AGO,Angola,2020-07-11,25.0
AGO,Angola,2020-07-12,25.0
AGO,Angola,2020-07-13,25.0
AGO,Angola,2020-07-14,25.0
AGO,Angola,2020-07-15,25.0
AGO,Angola,2020-07-16,25.0
AGO,Angola,2020-07-17,25.0
AGO,Angola,2020-07-18,25.0
AGO,Angola,2020-07-19,25.0
AGO,Angola,2020-07-20,25.0
AGO,Angola,2020-07-21,25.0
AGO,Angola,2020-07-22,25.0
AGO,Angola,2020-07-23,25.0
AGO,Angola,2020-07-24,25.0
AGO,Angola,2020-07-25,25.0
AGO,Angola,2020-07-26,25.0
AGO,Angola,2020-07-27,25.0
AGO,Angola,2020-07-28,25.0
AGO,Angola,2020-07-29,25.0
AGO,Angola,2020-07-30,25.0
AGO,Angola,2020-07-31,25.0
AGO,Angola,2020-08-01,25.0
AGO,Angola,2020-08-02,25.0
AGO,Angola,2020-08-03,25.0
AGO,Angola,2020-08-04,25.0
AGO,Angola,2020-08-05,25.0
AGO,Angola,2020-08-06,25.0
AGO,Angola,2020-08-07,25.0
AGO,Angola,2020-08-08,25.0
AGO,Angola,2020-08-09,25.0
AGO,Angola,2020-08-10,25.0
AGO,Angola,2020-08-11,25.0
AGO,Angola,2020-08-12,25.0
AGO,Angola,2020-08-13,25.0
AGO,Angola,2020-08-14,25.0
AGO,Angola,2020-08-15,25.0
AGO,Angola,2020-08-16,25.0
AGO,Angola,2020-08-17,25.0
AGO,Angola,2020-08-18,25.0
AGO,Angola,2020-08-19,25.0
AGO,Angola,2020-08-20,25.0
AGO,Angola,2020-08-21,25.0
AGO,Angola,2020-08-22,25.0
AGO,Angola,2020-08-23,25.0
AGO,Angola,2020-08-24,25.0
AGO,Angola,2020-08-25,25.0
AGO,Angola,2020-08-26,25.0
AGO,Angola,2020-08-27,25.0
AGO,Angola,2020-08-28,25.0
AGO,Angola,2020-08-29,25.0
AGO,Angola,2020-08-30,25.0
AGO,Angola,2020-08-31,25.0
AGO,Angola,2020-09-01,25.0
AGO,Angola,2020-09-02,25.0
AGO,Angola,2020-09-03,25.0
AGO,Angola,2020-09-04,25.0
AGO,Angola,2020-09-05,25.0
AGO,Angola,2020-09-06,25.0
AGO,Angola,2020-09-07,25.0
AGO,Angola,2020-09-08,25.0
AGO,Angola,2020-09-09,25.0
AGO,Angola,2020-09-10,25.0
AGO,Angola,2020-09-11,25.0
AGO,Angola,2020-09-12,25.0
AGO,Angola,2020-09-13,25.0
AGO,Angola,2020-09-14,25.0
AGO,Angola,2020-09-15,25.0
AGO,Angola,2020-09-16,25.0
AGO,Angola,2020-09-17,25.0
AGO,Angola,2020-09-18,25.0
AGO,Angola,2020-09-19,25.0
AGO,Angola,2020-09-20,25.0
AGO,Angola,2020-09-21,25.0
AGO,Angola,2020-09-22,25.0
AGO,Angola,2020-09-23,25.0
AGO,Angola,2020-09-24,25.0
AGO,Angola,2020-09-25,25.0
AGO,Angola,2020-09-26,25.0
AGO,Angola,2020-09-27,25.0
AGO,Angola,2020-09-28,25.0
AGO,Angola,2020-09-29,0.0
AGO,Angola,2020-09-30,0.0
AGO,Angola,2020-10-01,0.0
AGO,Angola,2020-10-02,0.0
AGO,Angola,2020-10-03,0.0
AGO,Angola,2020-10-04,0.0
AGO,Angola,2020-10-05,0.0
AGO,Angola,2020-10-06,0.0
AGO,Angola,2020-10-07,0.0
AGO,Angola,2020-10-08,0.0
AGO,Angola,2020-10-09,0.0
AGO,Angola,2020-10-10,0.0
AGO,Angola,2020-10-11,0.0
AGO,Angola,2020-10-12,0.0
AGO,Angola,2020-10-13,0.0
AGO,Angola,2020-10-14,0.0
AGO,Angola,2020-10-15,0.0
AGO,Angola,2020-10-16,0.0
AGO,Angola,2020-10-17,0.0
AGO,Angola,2020-10-18,0.0
AGO,Angola,2020-10-19,0.0
AGO,Angola,2020-10-20,0.0
AIA,Anguilla,2020-01-01,0.0
AIA,Anguilla,2020-01-02,0.0
AIA,Anguilla,2020-01-03,0.0
AIA,Anguilla,2020-01-04,0.0
AIA,Anguilla,2020-01-05,0.0
AIA,Anguilla,2020-01-06,0.0
AIA,Anguilla,2020-01-07,0.0
AIA,Anguilla,2020-01-08,0.0
AIA,Anguilla,2020-01-09,0.0
AIA,Anguilla,2020-01-10,0.0
AIA,Anguilla,2020-01-11,0.0
AIA,Anguilla,2020-01-12,0.0
AIA,Anguilla,2020-01-13,0.0
AIA,Anguilla,2020-01-14,0.0
AIA,Anguilla,2020-01-15,0.0
AIA,Anguilla,2020-01-16,0.0
AIA,Anguilla,2020-01-17,0.0
AIA,Anguilla,2020-01-18,0.0
AIA,Anguilla,2020-01-19,0.0
AIA,Anguilla,2020-01-20,0.0
AIA,Anguilla,2020-01-21,0.0
AIA,Anguilla,2020-01-22,0.0
AIA,Anguilla,2020-01-23,0.0
AIA,Anguilla,2020-01-24,0.0
AIA,Anguilla,2020-01-25,0.0
AIA,Anguilla,2020-01-26,0.0
AIA,Anguilla,2020-01-27,0.0
AIA,Anguilla,2020-01-28,0.0
AIA,Anguilla,2020-01-29,0.0
AIA,Anguilla,2020-01-30,0.0
AIA,Anguilla,2020-01-31,0.0
AIA,Anguilla,2020-02-01,0.0
AIA,Anguilla,2020-02-02,0.0
AIA,Anguilla,2020-02-03,0.0
AIA,Anguilla,2020-02-04,0.0
AIA,Anguilla,2020-02-05,0.0
AIA,Anguilla,2020-02-06,0.0
AIA,Anguilla,2020-02-07,0.0
AIA,Anguilla,2020-02-08,0.0
AIA,Anguilla,2020-02-09,0.0
AIA,Anguilla,2020-02-10,0.0
AIA,Anguilla,2020-02-11,0.0
AIA,Anguilla,2020-02-12,0.0
AIA,Anguilla,2020-02-13,0.0
AIA,Anguilla,2020-02-14,0.0
AIA,Anguilla,2020-02-15,0.0
AIA,Anguilla,2020-02-16,0.0
AIA,Anguilla,2020-02-17,0.0
AIA,Anguilla,2020-02-18,0.0
AIA,Anguilla,2020-02-19,0.0
AIA,Anguilla,2020-02-20,0.0
AIA,Anguilla,2020-02-21,0.0
AIA,Anguilla,2020-02-22,0.0
AIA,Anguilla,2020-02-23,0.0
AIA,Anguilla,2020-02-24,0.0
AIA,Anguilla,2020-02-25,0.0
AIA,Anguilla,2020-02-26,0.0
AIA,Anguilla,2020-02-27,0.0
AIA,Anguilla,2020-02-28,0.0
AIA,Anguilla,2020-02-29,0.0
AIA,Anguilla,2020-03-01,0.0
AIA,Anguilla,2020-03-02,0.0
AIA,Anguilla,2020-03-03,0.0
AIA,Anguilla,2020-03-04,0.0
AIA,Anguilla,2020-03-05,0.0
AIA,Anguilla,2020-03-06,0.0
AIA,Anguilla,2020-03-07,0.0
AIA,Anguilla,2020-03-08,0.0
AIA,Anguilla,2020-03-09,0.0
AIA,Anguilla,2020-03-10,0.0
AIA,Anguilla,2020-03-11,0.0
AIA,Anguilla,2020-03-12,0.0
AIA,Anguilla,2020-03-13,0.0
AIA,Anguilla,2020-03-14,0.0
AIA,Anguilla,2020-03-15,0.0
AIA,Anguilla,2020-03-16,0.0
AIA,Anguilla,2020-03-17,0.0
AIA,Anguilla,2020-03-18,0.0
AIA,Anguilla,2020-03-19,0.0
AIA,Anguilla,2020-03-20,0.0
AIA,Anguilla,2020-03-21,0.0
AIA,Anguilla,2020-03-22,0.0
AIA,Anguilla,2020-03-23,0.0
AIA,Anguilla,2020-03-24,0.0
AIA,Anguilla,2020-03-25,0.0
AIA,Anguilla,2020-03-26,0.0
AIA,Anguilla,2020-03-27,0.0
AIA,Anguilla,2020-03-28,0.0
AIA,Anguilla,2020-03-29,0.0
AIA,Anguilla,2020-03-30,0.0
AIA,Anguilla,2020-03-31,0.0
AIA,Anguilla,2020-04-01,0.0
AIA,Anguilla,2020-04-02,0.0
AIA,Anguilla,2020-04-03,0.0
AIA,Anguilla,2020-04-04,0.0
AIA,Anguilla,2020-04-05,0.0
AIA,Anguilla,2020-04-06,25.0
AIA,Anguilla,2020-04-07,25.0
AIA,Anguilla,2020-04-08,25.0
AIA,Anguilla,2020-04-09,25.0
AIA,Anguilla,2020-04-10,25.0
AIA,Anguilla,2020-04-11,25.0
AIA,Anguilla,2020-04-12,25.0
AIA,Anguilla,2020-04-13,25.0
AIA,Anguilla,2020-04-14,25.0
AIA,Anguilla,2020-04-15,25.0
AIA,Anguilla,2020-04-16,25.0
AIA,Anguilla,2020-04-17,25.0
AIA,Anguilla,2020-04-18,25.0
AIA,Anguilla,2020-04-19,25.0
AIA,Anguilla,2020-04-20,37.5
AIA,Anguilla,2020-04-21,37.5
AIA,Anguilla,2020-04-22,37.5
AIA,Anguilla,2020-04-23,37.5
AIA,Anguilla,2020-04-24,37.5
AIA,Anguilla,2020-04-25,37.5
AIA,Anguilla,2020-04-26,37.5
AIA,Anguilla,2020-04-27,50.0
AIA,Anguilla,2020-04-28,50.0
AIA,Anguilla,2020-04-29,50.0
AIA,Anguilla,2020-04-30,50.0
AIA,Anguilla,2020-05-01,50.0
AIA,Anguilla,2020-05-02,50.0
AIA,Anguilla,2020-05-03,50.0
AIA,Anguilla,2020-05-04,50.0
AIA,Anguilla,2020-05-05,50.0
AIA,Anguilla,2020-05-06,50.0
AIA,Anguilla,2020-05-07,50.0
AIA,Anguilla,2020-05-08,50.0
AIA,Anguilla,2020-05-09,50.0
AIA,Anguilla,2020-05-10,50.0
AIA,Anguilla,2020-05-11,50.0
AIA,Anguilla,2020-05-12,50.0
AIA,Anguilla,2020-05-13,50.0
AIA,Anguilla,2020-05-14,50.0
AIA,Anguilla,2020-05-15,50.0
AIA,Anguilla,2020-05-16,50.0
AIA,Anguilla,2020-05-17,50.0
AIA,Anguilla,2020-05-18,50.0
AIA,Anguilla,2020-05-19,50.0
AIA,Anguilla,2020-05-20,50.0
AIA,Anguilla,2020-05-21,50.0
AIA,Anguilla,2020-05-22,50.0
AIA,Anguilla,2020-05-23,50.0
AIA,Anguilla,2020-05-24,50.0
AIA,Anguilla,2020-05-25,50.0
AIA,Anguilla,2020-05-26,50.0
AIA,Anguilla,2020-05-27,50.0
AIA,Anguilla,2020-05-28,50.0
AIA,Anguilla,2020-05-29,50.0
AIA,Anguilla,2020-05-30,50.0
AIA,Anguilla,2020-05-31,50.0
AIA,Anguilla,2020-06-01,50.0
AIA,Anguilla,2020-06-02,50.0
AIA,Anguilla,2020-06-03,50.0
AIA,Anguilla,2020-06-04,50.0
AIA,Anguilla,2020-06-05,50.0
AIA,Anguilla,2020-06-06,50.0
AIA,Anguilla,2020-06-07,50.0
AIA,Anguilla,2020-06-08,50.0
AIA,Anguilla,2020-06-09,50.0
AIA,Anguilla,2020-06-10,50.0
AIA,Anguilla,2020-06-11,50.0
AIA,Anguilla,2020-06-12,50.0
AIA,Anguilla,2020-06-13,50.0
AIA,Anguilla,2020-06-14,50.0
AIA,Anguilla,2020-06-15,50.0
AIA,Anguilla,2020-06-16,50.0
AIA,Anguilla,2020-06-17,50.0
AIA,Anguilla,2020-06-18,50.0
AIA,Anguilla,2020-06-19,50.0
AIA,Anguilla,2020-06-20,50.0
AIA,Anguilla,2020-06-21,50.0
AIA,Anguilla,2020-06-22,50.0
AIA,Anguilla,2020-06-23,50.0
AIA,Anguilla,2020-06-24,50.0
AIA,Anguilla,2020-06-25,50.0
AIA,Anguilla,2020-06-26,50.0
AIA,Anguilla,2020-06-27,50.0
AIA,Anguilla,2020-06-28,50.0
AIA,Anguilla,2020-06-29,50.0
AIA,Anguilla,2020-06-30,50.0
AIA,Anguilla,2020-07-01,25.0
AIA,Anguilla,2020-07-02,0.0
AIA,Anguilla,2020-07-03,0.0
AIA,Anguilla,2020-07-04,0.0
AIA,Anguilla,2020-07-05,0.0
AIA,Anguilla,2020-07-06,0.0
AIA,Anguilla,2020-07-07,0.0
AIA,Anguilla,2020-07-08,0.0
AIA,Anguilla,2020-07-09,0.0
AIA,Anguilla,2020-07-10,0.0
AIA,Anguilla,2020-07-11,0.0
AIA,Anguilla,2020-07-12,0.0
AIA,Anguilla,2020-07-13,0.0
AIA,Anguilla,2020-07-14,0.0
AIA,Anguilla,2020-07-15,0.0
AIA,Anguilla,2020-07-16,0.0
AIA,Anguilla,2020-07-17,0.0
AIA,Anguilla,2020-07-18,0.0
AIA,Anguilla,2020-07-19,0.0
AIA,Anguilla,2020-07-20,0.0
AIA,Anguilla,2020-07-21,0.0
AIA,Anguilla,2020-07-22,0.0
AIA,Anguilla,2020-07-23,0.0
AIA,Anguilla,2020-07-24,0.0
AIA,Anguilla,2020-07-25,0.0
AIA,Anguilla,2020-07-26,0.0
AIA,Anguilla,2020-07-27,0.0
AIA,Anguilla,2020-07-28,0.0
AIA,Anguilla,2020-07-29,0.0
AIA,Anguilla,2020-07-30,0.0
AIA,Anguilla,2020-07-31,0.0
AIA,Anguilla,2020-08-01,0.0
AIA,Anguilla,2020-08-02,0.0
AIA,Anguilla,2020-08-03,0.0
AIA,Anguilla,2020-08-04,0.0
AIA,Anguilla,2020-08-05,0.0
AIA,Anguilla,2020-08-06,0.0
AIA,Anguilla,2020-08-07,0.0
AIA,Anguilla,2020-08-08,0.0
AIA,Anguilla,2020-08-09,0.0
AIA,Anguilla,2020-08-10,0.0
AIA,Anguilla,2020-08-11,0.0
AIA,Anguilla,2020-08-12,0.0
AIA,Anguilla,2020-08-13,0.0
AIA,Anguilla,2020-08-14,0.0
AIA,Anguilla,2020-08-15,0.0
AIA,Anguilla,2020-08-16,0.0
AIA,Anguilla,2020-08-17,0.0
AIA,Anguilla,2020-08-18,0.0
AIA,Anguilla,2020-08-19,0.0
AIA,Anguilla,2020-08-20,0.0
AIA,Anguilla,2020-08-21,0.0
AIA,Anguilla,2020-08-22,0.0
AIA,Anguilla,2020-08-23,0.0
AIA,Anguilla,2020-08-24,0.0
AIA,Anguilla,2020-08-25,0.0
AIA,Anguilla,2020-08-26,0.0
AIA,Anguilla,2020-08-27,0.0
AIA,Anguilla,2020-08-28,0.0
AIA,Anguilla,2020-08-29,0.0
AIA,Anguilla,2020-08-30,0.0
AIA,Anguilla,2020-08-31,0.0
AIA,Anguilla,2020-09-01,0.0
AIA,Anguilla,2020-09-02,0.0
AIA,Anguilla,2020-09-03,0.0
AIA,Anguilla,2020-09-04,0.0
AIA,Anguilla,2020-09-05,0.0
AIA,Anguilla,2020-09-06,0.0
AIA,Anguilla,2020-09-07,0.0
AIA,Anguilla,2020-09-08,0.0
AIA,Anguilla,2020-09-09,0.0
AIA,Anguilla,2020-09-10,0.0
AIA,Anguilla,2020-09-11,0.0
AIA,Anguilla,2020-09-12,0.0
AIA,Anguilla,2020-09-13,0.0
AIA,Anguilla,2020-09-14,0.0
AIA,Anguilla,2020-09-15,0.0
AIA,Anguilla,2020-09-16,0.0
AIA,Anguilla,2020-09-17,0.0
AIA,Anguilla,2020-09-18,0.0
AIA,Anguilla,2020-09-19,0.0
AIA,Anguilla,2020-09-20,0.0
AIA,Anguilla,2020-09-21,0.0
AIA,Anguilla,2020-09-22,0.0
AIA,Anguilla,2020-09-23,0.0
AIA,Anguilla,2020-09-24,0.0
AIA,Anguilla,2020-09-25,0.0
AIA,Anguilla,2020-09-26,0.0
AIA,Anguilla,2020-09-27,0.0
ALB,Albania,2020-01-01,0.0
ALB,Albania,2020-01-02,0.0
ALB,Albania,2020-01-03,0.0
ALB,Albania,2020-01-04,0.0
ALB,Albania,2020-01-05,0.0
ALB,Albania,2020-01-06,0.0
ALB,Albania,2020-01-07,0.0
ALB,Albania,2020-01-08,0.0
ALB,Albania,2020-01-09,0.0
ALB,Albania,2020-01-10,0.0
ALB,Albania,2020-01-11,0.0
ALB,Albania,2020-01-12,0.0
ALB,Albania,2020-01-13,0.0
ALB,Albania,2020-01-14,0.0
ALB,Albania,2020-01-15,0.0
ALB,Albania,2020-01-16,0.0
ALB,Albania,2020-01-17,0.0
ALB,Albania,2020-01-18,0.0
ALB,Albania,2020-01-19,0.0
ALB,Albania,2020-01-20,0.0
ALB,Albania,2020-01-21,0.0
ALB,Albania,2020-01-22,0.0
ALB,Albania,2020-01-23,0.0
ALB,Albania,2020-01-24,0.0
ALB,Albania,2020-01-25,0.0
ALB,Albania,2020-01-26,0.0
ALB,Albania,2020-01-27,0.0
ALB,Albania,2020-01-28,0.0
ALB,Albania,2020-01-29,0.0
ALB,Albania,2020-01-30,0.0
ALB,Albania,2020-01-31,0.0
ALB,Albania,2020-02-01,0.0
ALB,Albania,2020-02-02,0.0
ALB,Albania,2020-02-03,0.0
ALB,Albania,2020-02-04,0.0
ALB,Albania,2020-02-05,0.0
ALB,Albania,2020-02-06,0.0
ALB,Albania,2020-02-07,0.0
ALB,Albania,2020-02-08,0.0
ALB,Albania,2020-02-09,0.0
ALB,Albania,2020-02-10,0.0
ALB,Albania,2020-02-11,0.0
ALB,Albania,2020-02-12,0.0
ALB,Albania,2020-02-13,0.0
ALB,Albania,2020-02-14,0.0
ALB,Albania,2020-02-15,0.0
ALB,Albania,2020-02-16,0.0
ALB,Albania,2020-02-17,0.0
ALB,Albania,2020-02-18,0.0
ALB,Albania,2020-02-19,0.0
ALB,Albania,2020-02-20,0.0
ALB,Albania,2020-02-21,0.0
ALB,Albania,2020-02-22,0.0
ALB,Albania,2020-02-23,0.0
ALB,Albania,2020-02-24,0.0
ALB,Albania,2020-02-25,0.0
ALB,Albania,2020-02-26,0.0
ALB,Albania,2020-02-27,0.0
ALB,Albania,2020-02-28,0.0
ALB,Albania,2020-02-29,0.0
ALB,Albania,2020-03-01,0.0
ALB,Albania,2020-03-02,0.0
ALB,Albania,2020-03-03,0.0
ALB,Albania,2020-03-04,0.0
ALB,Albania,2020-03-05,0.0
ALB,Albania,2020-03-06,0.0
ALB,Albania,2020-03-07,0.0
ALB,Albania,2020-03-08,0.0
ALB,Albania,2020-03-09,0.0
ALB,Albania,2020-03-10,0.0
ALB,Albania,2020-03-11,0.0
ALB,Albania,2020-03-12,0.0
ALB,Albania,2020-03-13,0.0
ALB,Albania,2020-03-14,0.0
ALB,Albania,2020-03-15,0.0
ALB,Albania,2020-03-16,0.0
ALB,Albania,2020-03-17,0.0
ALB,Albania,2020-03-18,0.0
ALB,Albania,2020-03-19,12.5
ALB,Albania,2020-03-20,37.5
ALB,Albania,2020-03-21,37.5
ALB,Albania,2020-03-22,37.5
ALB,Albania,2020-03-23,37.5
ALB,Albania,2020-03-24,37.5
ALB,Albania,2020-03-25,37.5
ALB,Albania,2020-03-26,37.5
ALB,Albania,2020-03-27,37.5
ALB,Albania,2020-03-28,37.5
ALB,Albania,2020-03-29,37.5
ALB,Albania,2020-03-30,37.5
ALB,Albania,2020-03-31,37.5
ALB,Albania,2020-04-01,37.5
ALB,Albania,2020-04-02,37.5
ALB,Albania,2020-04-03,37.5
ALB,Albania,2020-04-04,37.5
ALB,Albania,2020-04-05,37.5
ALB,Albania,2020-04-06,37.5
ALB,Albania,2020-04-07,37.5
ALB,Albania,2020-04-08,37.5
ALB,Albania,2020-04-09,37.5
ALB,Albania,2020-04-10,37.5
ALB,Albania,2020-04-11,37.5
ALB,Albania,2020-04-12,37.5
ALB,Albania,2020-04-13,37.5
ALB,Albania,2020-04-14,37.5
ALB,Albania,2020-04-15,62.5
ALB,Albania,2020-04-16,62.5
ALB,Albania,2020-04-17,62.5
ALB,Albania,2020-04-18,62.5
ALB,Albania,2020-04-19,62.5
ALB,Albania,2020-04-20,62.5
ALB,Albania,2020-04-21,62.5
ALB,Albania,2020-04-22,62.5
ALB,Albania,2020-04-23,62.5
ALB,Albania,2020-04-24,62.5
ALB,Albania,2020-04-25,62.5
ALB,Albania,2020-04-26,62.5
ALB,Albania,2020-04-27,62.5
ALB,Albania,2020-04-28,62.5
ALB,Albania,2020-04-29,62.5
ALB,Albania,2020-04-30,62.5
ALB,Albania,2020-05-01,62.5
ALB,Albania,2020-05-02,62.5
ALB,Albania,2020-05-03,62.5
ALB,Albania,2020-05-04,62.5
ALB,Albania,2020-05-05,62.5
ALB,Albania,2020-05-06,62.5
ALB,Albania,2020-05-07,62.5
ALB,Albania,2020-05-08,62.5
ALB,Albania,2020-05-09,62.5
ALB,Albania,2020-05-10,62.5
ALB,Albania,2020-05-11,62.5
ALB,Albania,2020-05-12,62.5
ALB,Albania,2020-05-13,62.5
ALB,Albania,2020-05-14,62.5
ALB,Albania,2020-05-15,62.5
ALB,Albania,2020-05-16,62.5
ALB,Albania,2020-05-17,62.5
ALB,Albania,2020-05-18,62.5
ALB,Albania,2020-05-19,62.5
ALB,Albania,2020-05-20,62.5
ALB,Albania,2020-05-21,62.5
ALB,Albania,2020-05-22,62.5
ALB,Albania,2020-05-23,62.5
ALB,Albania,2020-05-24,62.5
ALB,Albania,2020-05-25,62.5
ALB,Albania,2020-05-26,75.0
ALB,Albania,2020-05-27,75.0
ALB,Albania,2020-05-28,75.0
ALB,Albania,2020-05-29,75.0
ALB,Albania,2020-05-30,75.0
ALB,Albania,2020-05-31,75.0
ALB,Albania,2020-06-01,75.0
ALB,Albania,2020-06-02,75.0
ALB,Albania,2020-06-03,75.0
ALB,Albania,2020-06-04,75.0
ALB,Albania,2020-06-05,75.0
ALB,Albania,2020-06-06,75.0
ALB,Albania,2020-06-07,75.0
ALB,Albania,2020-06-08,75.0
ALB,Albania,2020-06-09,75.0
ALB,Albania,2020-06-10,75.0
ALB,Albania,2020-06-11,75.0
ALB,Albania,2020-06-12,75.0
ALB,Albania,2020-06-13,75.0
ALB,Albania,2020-06-14,75.0
ALB,Albania,2020-06-15,75.0
ALB,Albania,2020-06-16,75.0
ALB,Albania,2020-06-17,75.0
ALB,Albania,2020-06-18,75.0
ALB,Albania,2020-06-19,75.0
ALB,Albania,2020-06-20,75.0
ALB,Albania,2020-06-21,75.0
ALB,Albania,2020-06-22,75.0
ALB,Albania,2020-06-23,75.0
ALB,Albania,2020-06-24,75.0
ALB,Albania,2020-06-25,75.0
ALB,Albania,2020-06-26,75.0
ALB,Albania,2020-06-27,75.0
ALB,Albania,2020-06-28,75.0
ALB,Albania,2020-06-29,75.0
ALB,Albania,2020-06-30,75.0
ALB,Albania,2020-07-01,75.0
ALB,Albania,2020-07-02,75.0
ALB,Albania,2020-07-03,75.0
ALB,Albania,2020-07-04,75.0
ALB,Albania,2020-07-05,75.0
ALB,Albania,2020-07-06,75.0
ALB,Albania,2020-07-07,75.0
ALB,Albania,2020-07-08,75.0
ALB,Albania,2020-07-09,75.0
ALB,Albania,2020-07-10,75.0
ALB,Albania,2020-07-11,75.0
ALB,Albania,2020-07-12,75.0
ALB,Albania,2020-07-13,75.0
ALB,Albania,2020-07-14,75.0
ALB,Albania,2020-07-15,75.0
ALB,Albania,2020-07-16,75.0
ALB,Albania,2020-07-17,75.0
ALB,Albania,2020-07-18,75.0
ALB,Albania,2020-07-19,75.0
ALB,Albania,2020-07-20,75.0
ALB,Albania,2020-07-21,75.0
ALB,Albania,2020-07-22,75.0
ALB,Albania,2020-07-23,75.0
ALB,Albania,2020-07-24,75.0
ALB,Albania,2020-07-25,75.0
ALB,Albania,2020-07-26,75.0
ALB,Albania,2020-07-27,75.0
ALB,Albania,2020-07-28,75.0
ALB,Albania,2020-07-29,75.0
ALB,Albania,2020-07-30,75.0
ALB,Albania,2020-07-31,75.0
ALB,Albania,2020-08-01,75.0
ALB,Albania,2020-08-02,75.0
ALB,Albania,2020-08-03,75.0
ALB,Albania,2020-08-04,75.0
ALB,Albania,2020-08-05,75.0
ALB,Albania,2020-08-06,75.0
ALB,Albania,2020-08-07,50.0
ALB,Albania,2020-08-08,50.0
ALB,Albania,2020-08-09,50.0
ALB,Albania,2020-08-10,50.0
ALB,Albania,2020-08-11,50.0
ALB,Albania,2020-08-12,50.0
ALB,Albania,2020-08-13,50.0
ALB,Albania,2020-08-14,50.0
ALB,Albania,2020-08-15,50.0
ALB,Albania,2020-08-16,50.0
ALB,Albania,2020-08-17,50.0
ALB,Albania,2020-08-18,50.0
ALB,Albania,2020-08-19,50.0
ALB,Albania,2020-08-20,50.0
ALB,Albania,2020-08-21,50.0
ALB,Albania,2020-08-22,50.0
ALB,Albania,2020-08-23,50.0
ALB,Albania,2020-08-24,50.0
ALB,Albania,2020-08-25,50.0
ALB,Albania,2020-08-26,50.0
ALB,Albania,2020-08-27,50.0
ALB,Albania,2020-08-28,50.0
ALB,Albania,2020-08-29,50.0
ALB,Albania,2020-08-30,50.0
ALB,Albania,2020-08-31,50.0
ALB,Albania,2020-09-01,50.0
ALB,Albania,2020-09-02,50.0
ALB,Albania,2020-09-03,50.0
ALB,Albania,2020-09-04,50.0
ALB,Albania,2020-09-05,50.0
ALB,Albania,2020-09-06,50.0
ALB,Albania,2020-09-07,50.0
ALB,Albania,2020-09-08,50.0
